Comments,Classes
En ko Kya hua hai Bhai,NA
"Zindagi bhar apne aap ko aisa he marte raho ga , ki bad dua ha tumhe, nikamy ho jahan key",A
zabardst. or maaro apne paleet jism ko...ghaleez mu ko.,A
Lgy rho bachy maro aor maro pagal log ye koi . Nhi,A
Aor maro shabash mxa krtha a buhth fazool log,A
En ko Kya hua hai Bhai,NA
Ye jahil pan chode ky bachy kaha sy a gay,A
Lanat hen inlogopar,A
Khud ko kiu mar rhay ho ,NA
Stupid shia,A
Suntukan nalang kayo ulol,A
SHIA CRAZY PEOPLE,A
MARO OR MARO TUM HO HI ISI QABIL MARO BHARWO,A
Shiaon par digital azaab ka manzar,A
Lanat,A
Hahahah phuda youn de chor,A
Khandani chor h ye log nohay ki copy krte h. Khud Aqal nahi h Khud Kch Bana Nahi Sakte Bas chori karne ki Adat h,A
Chour chour,A
Chori ke adat ni Jaye ge wasy b chori krny me phla h,A
Khandani Chor hain,A
Chor kahen k khud se kuch banta nhe chori karte rehty bs pehle inke bazurg chor thy ab inke bachy b chor,A
Pehla chor,A
Chori ki adat nhi ja rhi,A
tum par lanat,A
Copy master,NA
Lanat hai beshumar bhaee,A
Fitrat se majboor hai,NA
Chori ki aadat jati nahi,A
Nakalchi Bandar tujhe kaun Shaitan jaane,A
Cheap copy,A
Chura chura ke bana na hai apna nahi bana sakte chori ki adaat padhi hai,A
Chori ki adat jati nhi haye haye,A
Bakwas,A
Chori Ki Adat Jatii Nii,A
Chori k adat nha jati,A
Choro ki adat kabi nahi ja yeh gi,A
En ki waja sy Pakistan mn baresh nhi ho re,NA  
Program ehsas program program,NA
Besharm,A
ban these type of mujra jahan tk baat hmary mardo ki ha wo tu ha hi beghairat,A
Cameraman b legend hai bilkul target per focus raka hai,NA
Chapa niii peya,A
Pora Pakistan e nanga KR dia in logo ny.urty tu urty ye Jo mrd hn inki kia tarbit hui haa or ye apni olad k Kia trbit KR rhy hn,A
Send me number party function booking,NA
Aesi shadiya hogi to aulad kesi hogi,A
So nice video,NA
Mashallah mashallah,NA
Bhot glat,NA
Yar aisi haseenain kehan p milte hain pindi isb main,NA
Mere Pakistan Ko Nazar Lag gaie,NA
In mrdon k trbeat in k parents ne bs aisi he k h jahan moqa mily full awara bn jaty hn.aisa shoq agr in k behn kry tu full ghairt mnd bn jaty hn,NA
Teri maa ka bistar Lahore ke signal pe bicha hai,A
Tu to itna zaleel hai ke gali bhi tujhe ignore karti hai,A
Lagta hai kisi ne dimaag ki jagah gobar bhar diya hai,A
Tu roz mirror dekh kar apology karta hai kya?,NA
"Zarurat se zyada aqal dikha raha hai, recharge tu karwa le pehle",NA
Tujh jese haramkhor logon ki wajah se mulk barbaad hua,A
"Bohot acha bola bhai, sachai har kisi ko hazam nahi hoti",NA
"Chup kar bewakoof, tujhme aqal naam ki cheez nahi",A
"Yeh system hi kharab hai, insaaf milta hi nahi",NA
Tum jese kaminey log society ka cancer ho,A
Jab tak awaam nahi jaagegi kuch nahi badlega,NA
"Teri soch pe lanat hai, ghatiya soch wala",A
Jo bhi sach bolta hai usay pagal keh diya jata hai,NA
Maa behan ki gaali dena sharam ki baat hai,NA
Sab kuch ke hawalay karne se kaam nahi chalta,NA
"Besharam aurat, apni izzat ka khayal nahi",A
"Yeh hakumat sirf drama karti hai, asli kaam kuch nahi",NA
"Tera dimagh kharab hai kya, khudko samajhta kya hai",A
Awaam ka paisa loot kar jannat ke sapne dekhte ho,NA
"Tu kutta hai, har waqt bhonkta rehta hai",A
Logon ki ghaltiyon se seekhna chahiye,NA
"Tera baap bhi tujhe nahi samajh saka, tu kya samjhega",NA
"Is waqt sabr se kaam lena chahiye, gussa sab kuch begaadta hai",NA
Tujh jese haramzadon ki wajah se mulk dooba hai,A
Jab tak taleem nahi milegi tab tak kuch nahi badlega,NA
Tere jaise zaleel log sirf nafrat phelate hain,A
"Ek dusre ki izzat karni chahiye, tabhi aman hoga",NA
"Tu bhikhari hai, zindagi bhar bheek mangta rahega",A
Ghareeb ka dard sirf ghareeb hi samajh sakta hai,NA
"Beghairat insan, apni maa behan ki bhi izzat nahi rakhta",A
Main har waqt dua karta hoon ke sab behtari ki taraf jayein,NA
"Tu hamesha bakwas karta hai, tujhe sunne ka mann nahi hota",A
Agar haq sach ka saath do to sab behtar ho sakta hai,NA
Tere jaise chhoti soch ke log har jagah milte hain,A
Sabar aur tahammul sab kuch sudhar sakte hain,NA
Tera dimagh kharab ho gaya hai,A
Bahut bakwas karta hai tu,A
Tu kis kabil hai be harami,A
Apni auqat mein reh budtameez,A
Kitna ganda insaan hai tu,A
Tameez seekh phir baat karna,NA
Tumhari soch bohot ghatiya hai,A
Dimagh ka ilaj karwa le,A
Tu zameen par bojh hai,A
Kuch sharam hoti hai kuch haya,NA
Jahil logon se baat nahi karni chahiye,A
Tumhari baat mein koi logic nahi hai,NA
Mujhe tumse baat nahi karni,NA
Har baat mein jhagra kyun karta hai,NA
Apni ghalti maan lo to behtar hai,NA
"Zindagi bohot haseen hai, appreciate karo",NA
Log badalte hain waqt ke sath,NA
Mehnat ka phal zaroor milta hai,NA
Tumhara lehja bohot acha hai,NA
Har kisi ko izzat deni chahiye,NA
Jang k bad tajmahal hunza m Hoga,NA
Meny Jung nai Karni Mari abi shadi ni hoai,NA
India bna ga DHA,NA
Bahir 2 KO paper ha jang shuru Karo tayri Nahi ha,NA
Bhai jang winter me rakho aag sekne me maza ayega,NA
Bhai Jang karni hai to batao Nahin to main jaaun,NA
India walOo dro us din sy jb delhi me betha hua doctor Mareez k ghr walOn sy kahy ga ... Ayny ni bachna aynu lahore ly jaow,A
Bhai Jang ke taim live chlana bas Etna kam krdena,NA
Criket me ind vs pak to dekha ho lekin aj pani k liye ind vs pak dekhna he,NA
Pakistan ki trf s commentary krnay k liye Ramiz raja,NA
Yaar Jang karne se pahle Bata Dena main jara ,NA
India damki os qum ko daty hy Jis ky shadyou my etny firing hoti hy ky dulha griftar hojata hy,NA
Jung ki roti kis time lagy gi,NA
Agar jang hui tu me pakistan k liye pani khol donga take jang ruk jai,NA
Zindagi mout ka barosa nhi lekin meri kowish he pak ind ki ,NA
Pakistan aur India ne aise jange tare aasmanon mein dare hue hain ki jab Jung ho tab kya pata hi na ho,NA
Imbani ka Ghar Mera hy bhai,NA
Karachi wale Apne ap k nh hy .Apne mulk k nh hy or ks k hogy,NA
India wale Pani ki jagah per ladkiyan Chhod Dena Pakistan mein,A
Yaar yah batao yah Jung to Hogi kahan per Hogi final bata do,NA
Mazak bana kar rakh diya,NA
Mujhe Jung chahiye. Me khoon passand insan ho. Chahiye wo Muslim ho ya hindo. Sub ko dekh longa.,A
Bhai jab Pakistan Aur India Ki jang lage go to mujhe Koai Achi si piyari si Indian aunty mil jaigi,NA
Please start the fight indians We can't wait,NA
Agr hon jang na hoi mera jang to bharosa oth jana,NA
Modi Ham pani ke liye Jung Nahin karenge agar Jung karni hai to hamara net band kar do FIR Dekho Jung kaise hoti hai,NA
"Modi, phlay apnay yaaron ko ulta lutkana maal pani nikaal kr loan wapes karna hai",A
Indian ; White flag laga to diya hai - Pakistan : hum usko red color Karen gy,A
Kutto ki trha larty h Pani k pechy,A
Bhai me phaly bataa rha ho jung ky bad ambani ka gr Mera ho ga,NA
Jung me nuksan Sirf India Ka he Hoga Pakistan to pehlay Se he nuksan ma hai,NA
Kia thory dinu baad Pakistan aur India ek ho jaiengay,NA
Yar jang ka Bad katrena kaf mare ha,NA
Hum India ki baap ke nokar nahi hain jo har saal saman le jayein phir wapas laayein,A
Jung Hua to Modi ka ghar Hamara,NA
Mai tu sab sa phla modi k Saath Jang krong gaa,NA
Yar krlo jhang jaldi se 10 bajy k bad mujha ghr jana hota hai,NA
India walo pani band kar ke be peshab he pina hain tum logo na,A
Occupied kashmir me hamari zameen ha..jang k bad abad krun ga,NA
Mujy modi ka number send kr Dana mn yad dilwa do Pakistan sa jang ha,NA
Jung k liye india pakistan ayega ya phr kisi or venu pr krega,NA
Pakistaniyo ka pani nahi net band karna padega ....bahut fudak rahe hain,NA
Jung ke baad CID ka ASP iqrar ul hassan hoga,NA
Bhai jhung ka time kia hai ? mujhy suba suba shop bhe kholni prhti hai,NA
Bhai Mera passport gum ho gya tha abhi abhi banwane diya hai Thora sabar kro Jung delay kro,NA
"Jung jeetny k bad ""katrena"" mare hogii phly sy Bata Raha ho",NA
Muneeb Tariq phat Gai inki,A
Darpooook nation bahaaag gai,A
The Indian Army raised a white flag at Chora Complex along the Line of Control. - kyun bhai itni jaldi phatt gai,A
India ap ne bade bahi Israel ko call karty hue,NA
Suno ghadaron aur Facebooki Danishwaron tum shay hi koi na ho,A
Tum logo ko sindoor ab hum lagyagi,NA
Pakistan launched Operation SohagRaat,A
Bhag Arjun Bhag,NA
Tum karo tu lash bhaaly Ham karain tu gaand jaly,A
Tension na lo 6 maah bad aik film bna k jang jeet lena. Abhe thori phatnay do apni,A
Ye ro rahe ay,NA
Ye old video hai .tum log aisii fake news se khush hote raho,NA
Faizan Aslam bhai gl wadh gai ae,NA
Batli kro hun,NA
Mut Pinay walay hamara muqabal karna ha dhak latay ha phr,A
Jang ke baad Aaliya Bhatt meri hogi mein pehle batara hun koi nazar rakhe us par,NA
Delhi mein main Raj kar ga,NA
Main jang main nara jee bhutto ka lagaio ga,NA
Tum karo tu lash bhaaly Ham karain tu gaand jaly,A
India ap ne bade bahi Israel ko call karty hue,A
Pakistan launched Operation #SohagRaat,A
Tum logo ko sindoor ab hum lagyagi,NA
Tum log aisii fake news se khush hote raho,NA
"Chal wapas le jao barat, larki abhi 18 ki nahi hui",NA
Mai to bhai Jung wale din shaadi karunga meri janu ko India mein ghus Gaye Tajmahal ke samne ek selfie lunga,NA
Babri Masjid ko 2bara tamer karni ha jaldi Jung sarart karo,NA
Jung ke baad bajrangi bhai jaan wali muni mere,NA
Katrina toh meri he,NA
Kya aap mujhe Anushka ke baad Priyanka bhi dogay,NA
Jung ke baad Anushka meri hai koi aur claim na kare,NA
Apki garmi nikal denge,A
Bhai humne Yahan per Jung Nahin kheli agar khelni hai to Dubai kar rakhen jaise match udhar karate hain,NA
India jeete ka to Pakistan ladki chahiye,NA
India pe kabza kar lenge fir Karachi ki ladkiya ke sath rap karenge,A
Mein ne kaha ammi jung lagne wali hai ammi boli Allah kare pehla bomb twade water tank nu wajay,NA
Suno gaddaron aur Facebooki danishwaron tum she hi koi na ho Pakistan painda bad,A
Modi Tumne Raat Mein Hamla Kiya Hai Ham sareaam Karenge Din Mein Pakistan zindabad,NA
Weycy ye jang awaam ko chay ye India awam awar Pakistani awam ko larna chaheya Sarkar ko churo,NA
Mein to chah raha tha ke pehli fursat mein jung lag jaye,NA
Alhamdulillah itni khushi to apni shadi pr nahi hui jitni India aur Pakistan ki jung sun kar hui,NA
Mujhe bhi jung men bulana plz,NA
MJhe zaroor jung ke liye bulao me ne naya suit silwaya hai,NA
Jang ma chaple phana ha ya shoes,NA
Kya jung ke liye sunscreen le aana hai?,NA
Pehli to pani khol do baad mein jung karega,NA
Pani pe lo pahr jag krga sind mein panne nahe h,NA
Mein new suit silwaaya tha jung wale din ka,NA
Tension na lo 6 maah baad aik film bna k jang jeet lena,NA
Bhai main tu Anushka ko pehle hi book kar chuka hun,NA
Apna apna account agay kar do jung kab h,NA
Jung ki namaz kitne baje hai koi bata sakta hai,NA
Katrina kaif aur alia bhatt meri hogi,NA
Mere bchon ne tind karwa li hai kehte mama g jung karni hai hum nahi chahte Katrina ko dekh k baalon me haath pherna pad jaye,NA
Mujhe to dar lag raha hai Bharat Adiala jail pe hamla kar ke humara cultural khota na maar de,A
Apki Umar choti hai tajurba kam aj soshil media band kar do ye waisay hi rahain gy,NA
Hum bhi aapka WhatsApp status dekhna hai. Yahan rakho,NA
Modi ko ek free ka mashwara — Jung se pehle washroom chale jana,NA
Mein jung nahi chahta India warna tum log jo jung jung kar rahe ho hum tatti nikaalenge tumhari,A
"Jang ke baad mein Anushka le jaunga, Katrina bhai ne claim ki hai",NA
Mein tu daraz app se straw order kar liya pani peenay ke liye ,NA
Mein to keh raha hoon Eid ke baad Jung karna abi hume gai mata ki qurbani bhi karni hai,A
Mein taj mahal ke samne chai piyunga aur kahunga tea is fantastic,NA
Karachi me to OYO kholenge,NA
Mein ne kaha ammi jung lagne wali hai ammi boli Allah kare pehla bomb tumhare geyser ko lage,NA
Mein ne jung ke liye matching pistol nahi mili,NA
Mein jung ke din Soni Leon ke ghar milun ga,A
Bheekh Mang kar khane wale Jung ki batt kar rahe waah kamaal hai,A
Main to comments parhne aai hoon bs,NA
Sub kuch to ho gya ab girls apna apna jungi makeup bhi dikhao same like fotgi makeup,NA
Yar Jung kab ho gy bato plzzz,NA
Antii to smbhl Len gy bachyun ka sochna hoga,NA
Ye Logo Nain Sirf Ami Abu Ki Jang Deki Hai Kabi 2 Mulko Ka Jang Ni Dika Warna Shalwar Mi Peshab Nikal Jayega,A
Ma wat kar RHA1ho,NA
Nora fate meri ok,NA
Hansane bda maja ata hai un logo se pucho jinki koi galti nahi thi tumhare logo ne mar diya,NA
Jung karni hai to please apne mobile Ghar per Rakh kar aana Varna Karachi ke halaton ka pata hai India walon,NA
Antilia palace banane me tumare pure Pakistan ki GDP jayegi,NA
Ap APNA number do me Apka status dekhonga,NA
Yar ya to cricket ka match nahee ha ka har waqt ap log jetogay,NA
Kay gril h yar,NA
Pakistan Zindabad Army Zindabad Pakistani Awam Zindabad,NA
India ko harane ka khwab dekh Rahe Ho gajab ki baat Hai per pura nahin hoga,NA
Beyaqoofi ki inteha hai jung koi mazak hai agar khuda na khasta shuru ho gayi phir pata chalega,NA
Aap bhoot pari hu or aap ke voice bhoot achi hai,NA
Aap jaisi Haseena hogi to Jung to hogi,NA
Phly pani khol do me washroom me betha hon mujhy bhi jhang dekhni hy,NA
Mughe laiba khan,NA
Agar m jung m gom ho gya tu taj mahal k pass milo ga,NA
Me tou aapse nikah shadi karoonga Pakistan jeetne k baad,NA
Tum logon ko sharm nhe aati apne mulk ka mazak kar rahe ho,NA
Agar jung me ek dosray se bichhad gaye to taj mahal k piche Quetta chai wale k pass milte hain,NA
Jang suba 8 baje ke bad band hoghe ku ke 8baje ke bad apun ke ghaw ma bejle nahe hota,NA
May indian Media ke 6 awraton ke saat shadi karonga,NA
Ye jang Karen Gy jinko shishu Karny K leye washroom nai milta,NA
India wlo k army chief ma bno gy agla,NA
Behoodgi k be koi had hoti heee,NA
Mojhe to ashoriya or Nora bebo chahiye Jung mein,NA
Jang ka humein pata hai jo Kashmir ke border pe rehte hain,NA
Ajay Bhatt tum nihayti bhikari ho,A
6000 ka rate sahi lagta hai,NA
Pakistan middle finger emoji,A
falto insaan ka bacha ,A
Madhuri meri,NA
Dafa karo India ko Israel ko tabah karne ki koshish karo,A
Habardar Agar Kesi Ny Shah rukh k gahr liaa It's only Belong to me,NA
Except Cow mouter and Cow Gobar ww will bring back from Modis country,A
Khn lai roti nhi bate krte ho larne ki,NA
Ab ki cow mandi border pr lagao India hamla hi nai karega,NA
Cow mouter ki country se sirf gobar lana hai,A
Agar jung hui to Dilli Lal Qila k samne wala plot mera hoga,NA
Agarah ka qalamdan mein banna chahta hoon aur hinduo ko agrah ki safai pe lagaunga,A
Ek bhikari mulk banakar kya kar liya maine,A
Jaise USA Army Ne Laden ko Mara tha waise Ham Marenge,A
Cow mandi ko border pe lagao India hamla nai karega,NA
Chuss on fire,A
Not 1% funny,NA
.... Your laughing style ....,NA
Bharat ka pehle hamlay ka program tha phir hamli ka program bana us ke baad Bharat khud haamla ho gaya,NA
Kya hua maaloom hai kya 1965 mein 1971 mein 1999 mein taareekh yaad hai kya I love India,NA
India media ke mutabiq mein mar chuka hoon aur yeh mera doosra janam hai aur main is waqt Shakti Kapoor ka damaad hoon,NA
Pakistan beghairat mulk hai,A
Pakistan Zindabad,NA
Mja ly rhi ha awam,NA
Jhang ke baad Ambani ke ghar ki deewaron pe likha hoga Bengali baba har kaam humse karwao,NA
Pakistan Zindabad Bangladesh we stand with Pakistan,NA
India ko bologe yaar abhi jag mat karen kyunki 3 din mein meri shaadi hai uske baad jo karna hai karo,NA
Jai Hind,NA
Bhai Mukesh Ambani ka house mera hai ki tum log apna apna dekh lo,NA
Mujhe to Jammu Kashmir mein makan banana hai,NA
Ap mujhe boht buree lagti ho bilawaja daant q nikalti ho,A
Meri Indian hukumat se darkhwast hai ke jang baad mein kar lena abhi Pakistani awam tiktok videos dekh rahi hai,NA
Madam ji India walon ko kehna agar jang ladne aana to gaaye ka peshab pee kar na aana Pakistan mein doodh khula nahi milta,A
Allah Pakistan ki hifazat farmaye,NA
Jo qoum shab e baraat pe itne patakhe chalati hai wo jang se nahi daregi,NA
Tum log Modi ko mar dala,A
Jang ke liye imaan ka jazba zaroori hai na ke gaaye ka peshab peena aur 500 rupay ki bhagwan ki murti se jazba paida nahi hota,A
Kabhi suna tha ke jang khed nahi hondi jananiyon di,NA
India jang nahi chahta pyaar aur mohabbat,NA
Modi dar gaya Modi dar gaya,A
Khud bhi hansne ki acting kar rahi ho,NA
Very good Nice,NA
Modi ke janm pe daayi kehti hai paisay rehndeo mere haath dho do,A
Jang lag jaye humein mujray ke liye 3 4 randyan chahiye uske liye India jana hai,A
Yeh bachi kahan ki hai mujhe iski fikr ho rahi,NA
Humari daadi ji ki jaga Baramulla mein hai aik pura chaak hai woh humein mil jayega kya chaak Ghulam Ali Khan naam hai uska,NA
Jang mein agar toss ho gaya toh umpiring karunga,NA
Awesome knowledge,NA
Hihihihi 88 kilo makeup karke hihihi hansna seekh le,NA
Madam aapki hansna banawati hai shakal se do numri lagti ho,A
Kajol meri hai,NA
Chawlain maar rahi ho,A
Why are you laughing extra b tuka,NA
From Bangladesh assalamualaikum,NA
I from Bangladesh My district man one cow name says Modilal,A
Hahahaha,NA
Good,NA
India se taza tareen France apne jahaaz gin raha hai Israel apne drone gin raha hai aur Modi calculator le kar betha hai meri mari hui chol kitne mein par gayi,A
Hasty hue to pyaray lag rahe first time dekha hai hanstey hue inhe,NA
Modii crazy,A
Oye tu border par ja aur apni asal duty kar aircondition me beth kar awam ko chutiya mat bana,A
Apne dushman ko kamzor samajhne ki ghalti kabhi nahi karni chahiye,NA
Karachi ko humne tabah kiya hai India credit na le,NA
Duniya Indian media ka mazaaq udaa rahi hai everyone is laughing,NA
Bhai Allah se Pakistan ki hifazat ki dua karo India ka warship Karachi ke paas hai supersonic missiles ke saath,NA
Pak fouj zindabad,NA
Breaking news India ne Bharat par hamla kar diya,NA
Jhooti khabar phailana to bahana tha asal mein Pakistan ke DG ISPR ko hansana tha,NA
Geo mere sher Allah pak aap ki hifazat farmaye,NA
Operation Suhagraat,A
Hahaha,NA
Zindabad,NA
My army my proud Zindabad,NA
India aur tum aik hi hathaili ke chatte batte ho,A
Very well said,NA
India deployed its warship near Karachi coast with warheads and supersonic missiles,NA
Shahzada,NA
Mai shayad India mein aa gaya,NA
bond begarit aya wada bonda,A
L hay to ,A
Dhruv Rathee,NA
General Shahab looking cute,NA
Pakistan army be ready next attack from India be careful,NA
Agar ek grenade bhi Quetta par gira Pakistan news se pehle India ka news report karega,NA
India walon ko batana Karachi ke guttaron se anti aircraft guns nikalte hain,A
Great to see that confidence,NA
Haha,NA
hehehe,NA
Indian prime minister aur Indian media ki mental health theek nahi hai aaj kal,NA
We need action,NA
We need action not talking,NA
I love Ducky Bhai,NA
‘khoti k bachy’ wala,A
Bahon Rami Jay Bhai bahon rami,NA
Wo Humara fvt YouTuber Ha Ok,NA
Heavy end wlaa,NA
Jay bhai yr ap meet up kro hum rents pa lakriya la ay gy,NA
Saly Tu ducky ky taty jesa bi nhi hai Teri phaar ky rakh Deni usny saly soch soch ky to word bolta tu,A
Jay Gandu Jawab De diya Kar Mera,A
Eik din ya auwad ap ko bi mily ga inshaAllah,NA
Ap k sat lobby ma aya tha ap ne video b nhi banayi dil tor diya fan ka,NA
Ap ka Abu ha duckybhai,A
WaH bety Tu nah b moJ kaR de In Sab ke hansTy hansTy *** kr,NA
Sale gandi soch,A
Jay tu waqai e haraam da an,A
Almashor bharwa is back on fb,A
Iphone ma last ma middle camera kaha sa agiya,NA
Level ha yar,NA
zarbasti trolling,NA
Tere aukat nahi wahan jane ki fazol baat na kia kar,A
Kabeer Afridi yr video ki starting me jo larki hai wohi muje iski ducky ki bachi lg rhi h,NA
Ducki chutiy shahadat ki ungli b laga k kahya kar panchood,A
Ducky Bhai gand mar gyaa ye apki mazaq mazaq main,A
Aba tu apna chutia karwa ba chu,A
Bade harami ho pink strawberry pr teri nazar hai chutiye tu akela legend nahi,A
Mr jay sexond name is mr tatta plays,A
jo bhee ho theek nahi hova,NA
Ducky ko bulao whats in the box main,NA
Aysa mzak nhi krty yar bandy ko achank sy heard atak b ho skta h,NA
Bc Das Hee Leta Isko,A
Nadeem chuchi Wala ata tu Kya mza ata video ka usky Laine ka alg mza hota ha mtlb bezti krni ka,A
Hahahaha ducky bhi,NA
Yousuf Ameer ap k peer k sath ye kya hya,NA
Phut gaiiiiiiiiiiiiiiiiiiiiiii duckkkkkkk kiiiiiiiiiii,A
Attack ana rehgya bs,NA
Heran hu isne galiayn nhi di wrna hr video main galiyan hi deta hai ducky,NA
Isko prank ni darana kehte hain,NA
Sub choro…… Bs Python,NA
Azlan Shah Yar inbox aao gy?,NA
Yarrr dhaky bhai ko apni hot see bv dhekane ka bht shooq ha ap mhrbani krke osko dhekaye dhaky kutty ka ye bara sa muu to rozz dhekty ha ajkll bhabhi dhkene ko melrrli ha o be hot and spicy shape ha o dhekaye na plzzz dhaky kutaa hud be to dhekata ha ap zara sahi se dhskye,A
Ducky Bhai ki B pht gayee,A
Sara scripted ha,NA
HYEE DUCKY DI TURU LABBB ALII STORY SUNN K MA TISSUE DE 2.5 DABBY MUKKA DETY,NA
Scripted vedio..,NA
Sare Randi ki aulad h,A
Yay nikla he esa tha ya bad my esa ho gya hy...,NA
Muneeb the great,NA
Saad se bolo k dawaten khana bund karday he doesn’t look good,NA
ducky bahi pyary a ap un ka bahi Nae lagty mujy,NA
Ghri thatha,NA
"When I saw this video, I remember the advice my grandfather gave me...",NA
4 saal sy memes bna rha hu 2k subscribers nh huye or is Lan ke topay ko dekh jalan nh ho rhi dukh ho rha muje shak tha awaam ramdibaaz hai pr yahan to londybazi bhi Arooj pr hai,A
Penchod ab amaa abba reh gaiye unn ko b laga do vlog py,A
we need videos of yours. bhai ki photos laaga bathroom wali. Suhag raat b share krin dalay,A
Bhabi ko to chupky chupky bohut deka hoga,NA
Ye to ab in ka family bussiness bn gya hai,NA
Chup kr bharwy,A
Band kro Band Kro Khuly me Hagna Band Kro,A
Now There Is Chicky Bhaai After Ducky Bhai,NA
Chutiyan banya hova hai Tum logo ny mil ky phely Duck phr uski bandi or ab ya mara hova keerha,A
Apne ami or abu ko bolo woo vlog karein,NA
Ab agli video hgi ducky ki reacts to comments of his brother's first vlog,NA
KMAL LARKY,NA
reyyy tu jaaa reyyy,NA
Chota cake v agya,NA
"pesy e khudmat hai ucky bhai, Sasta version of ucky",A
Vlog toh accha ban gaya hai,NA
Khuly me Hagna Band Kro,A
ghar main aik sarkari nokar ho to sbko set krwa deta hai idher ducky nay sara khandan sarkari nokri k bghair set krkay dikhaya ya nhi,NA
Better than Aroob,NA
Much better than Aroob Jatoi,NA
When u order ducky from daraz,NA
kuttay ky dhom wala,A
You’re not funny anymore coldybhai,NA
Chalo ab Pakistan ki garmi thori aur Kam hojae gi,NA
kabhi banao dever bhabi wali video matlb bhabi ko lo video ma,NA
Yeh to hai,NA
Or koi reh gaya hai tumhary ghar me vloging karne se,NA
Good luck boii,NA
ab kuch din baad uncle bhi aajayenge vlog banane,NA
Ammi papa ko kaho vlog bana lay kuch to sharam karoo,A
Ais ka aur nasir khan jan ka collab krwa de,NA
hagne ke liye yehi jagah mili hai,A
aa gaya tu jawan ho ka,NA
Love you chotay ducky,NA
Better than Ducky,NA
He said mujhy abhi abhi apny baba mile hain,NA
Aroob bhabhi romance tarah ki videos chahiye hume,NA
Rabbia faisal set kr ly bhai,NA
He will beat Aroob Jatoi. He is literally more talented,NA
soon 1 million,NA
Agaya aik aur bawaseer,A
Welcome to Punjab bhabi,NA
To bhi apna bhi ka vlog khud dekh hume kyu dikha raha,NA
Baki tere zrort the,NA
Puri nasal hi vlogger banegi ab,NA
Pencho ab aur yakkian sunne ko mile gi,A
Is chutiye ki kami thi bas,A
Apke bhai ko beauty cream ki zarurat hai vlogger banne se pehle,NA
Chotay bhai k sath kaha ha,NA
Vlog isse acha hota itna time gand marwata paisa to milta,A
1 lakh subscribers congratulations,NA
Ducky thora saste me,NA
Ab ye kya bawaseer hai,A
Tum logon ne sahi YouTube ko bathroom banaya hai pura ghar aake hagta ja raha hai,A
After making this beautiful vlog you deserve a world tour,NA
Why you said mujhe abhi abhi mere baba mile hain,NA
Issay roko bawaseer failta ja raha hai,A
Mujhe abhi abhi mere baba mile hain ye acha tha,NA
Their mother has better sense of humor than they both combined,NA
Toba toba bahut manhoos lag rahe ho,NA
This is business,NA
Ab ducky bhai ke ammi abu reh gaye hain vlog banane ke liye,NA
Begum b koi over acting karti hai,NA
Bawaseer mini edition,A
Ducky order from daraz,NA
Dewar bhabhi ka pyar dekhna hai,NA
Ducky ke vlogs se to behtar tha,NA
Chal ay tu,A
Lite mia khalifa,A
Welcome first vlog small ducky bhai,NA
Family vloggers ban gaye ho,NA
Ye tum logon ne sahi logon ko chutiya banaya hai,A
Tum logon ne YouTube ko family business bana diya hai,NA
Another bawaseer,A
Nice bro small ducky bhai,NA
Or koi reh gaya hai to uska vlog bna lo,NA
Gand marwa ke video upload kar,A
Content kya hai MashAllah,NA
Keep it up,NA
Bhai Masha Allah acha vlog banaya agay b bnao,NA
Lagta to Karachi ka hai muh aisa hi hai tere,NA
Another bawaseer in market,A
Chal mere putar too chutti kar,NA
Tera bhai tou bilkl lag raha,NA
Abhi abhi baba Miley hain Sindh budget main tum dono bhaiyun ko bh murad Aali Shah pesh krey,NA
Nasir khan jaan lite version,NA
another tatti bhai,A
prhai hum sab chordete inhi dhando m lag jaate ku k education ki yahan importance kaha hoti,NA
1 or pagal,A
keep it up,NA
Nepotism on its peak,NA
Family politics ki trha yahan b yai kaam start jeeo,NA
Thank you ducky Bhai for all the entertainment. It's time to say Good Bye,NA
iski kami thi,NA
band kro bhy band kro khule mn hagna band kro,A
Tum dono bahiyoon ke pass koi or kaam nhi awaam ka phuddu lagaya ha,A
Mashallah,NA
Pora khandan arha ayesta Abu Ami b ajye ge,NA
Lora mera,A
Chota ducky bhi,NA
Kayla tatta,A
Aby sy bhi bnwa ly wohi reh gya ha,NA
Haters this is for you keep it up muneeb,NA
Tum logon ko pehly bat karne ki tameez sekho,NA
beta homework karlo warna ma khud ghar akar workdone kardon,NA
Lagtaa hay barf parny wali hay,NA
Wah ub Pakistan k sare masly khatam ho jayen gy,NA
Cake,NA
cringe af like ducky,NA
Yakhi bhai ny phely dimag khaya hoa tha ab to bhi kha ly mia khalifa in male version,A
Chota ducky,NA
Aby copier photocopy kr ja k,NA
Ab Pakistan mai garmi kam hogi umeed hai,NA
Koi reh to n gya,NA
yar ksi ko mzq ka nishna na bnao kyn na wo ktna chutiya ho,A
Mun ma kya pahsawa ha,NA
Wa londa wa,NA
Ek kaam kar na amma Abba kyn reh gai un ko bol wo bh start kren,NA
Iss sy nhi ho ga bhaii,NA
Tucky bhai,NA
Abhi abhi apnay baba milay hain iss ko,NA
bawasir,A
Ja ja kam kar,NA
Nahi yar ap logo ky Ghar may toilet nahi Hy Jo hagny YouTube or Facebook py aa jaty hoo,A
Your mama should also start vlogging best roaster,NA
Ducky bhai to hohoho,NA
There is nepotism everywhere in Pakistan,NA
